variable,relative_importance,scaled_importance,percentage
delay_gap,139710.25,1.0,0.6871056797764048
is_delayed,51637.2734375,0.369602612818315,0.2539560545276637
Type_TRANSFER,1890.353271484375,0.013530526725736838,0.009296901763620222
Order City,956.195068359375,0.006844129678097169,0.004702640374946822
order_day,871.2005004882812,0.006235766527425734,0.004284630598753811
delay_ratio,829.6947021484375,0.005938681679751038,0.004080501912541019
Order State,739.2009887695312,0.00529095745494358,0.003635446918747045
Customer City,614.9342041015625,0.004401496698356509,0.0030242933809578507
Order Country,528.8929443359375,0.0037856416715018226,0.002601135894087145
Order Region,487.10272216796875,0.003486521011650675,0.0023956083897649556
Customer Zipcode,479.352783203125,0.0034310494985380457,0.002357493598039477
ship_weekday,446.3351135253906,0.0031947198829390872,0.002195110176862058
order_weekday,427.307861328125,0.003058529072334528,0.0021015326973623126
Customer State,419.303466796875,0.003001236250002237,0.002062166473727375
Type_DEBIT,419.1771240234375,0.0030003319300011093,0.002061545110318265
ship_month,335.46539306640625,0.0024011509038628608,0.0016498444240444197
order_month,323.70977783203125,0.0023170080780188372,0.0015920294104945544
Days for shipping (real),246.95469665527344,0.001767620462029618,0.0012145420591495434
Type_PAYMENT,199.53866577148438,0.0014282321144760987,0.0009813463978955918
order_year,171.7160186767578,0.0012290867611843641,0.0008445124945477622
Order Item Profit Ratio,132.01705932617188,0.0009449346724823116,0.0006492699804802531
Order Item Discount Rate,123.51184844970703,0.000884057171536856,0.0006074407038100372
discount_impact,101.68241119384766,0.0007278092422985977,0.0005000818641771281
profit_per_unit,95.27435302734375,0.0006819424704153328,0.00046856654470312805
Customer Segment_Corporate,94.66829681396484,0.0006776045194534033,0.0004655859139585948
Category Name,89.57952880859375,0.0006411807924514755,0.000440558964256945
Order Profit Per Order,88.47953033447266,0.0006333073653112256,0.0004351490877495736
Customer Segment_Home Office,85.12956237792969,0.0006093293969335083,0.00041867368948774505
Days for shipment (scheduled),78.94754791259766,0.000565080571487043,0.00038827007020004404
order_quarter,75.18155670166016,0.0005381248455403963,0.00036974863779960684
Sales,73.33575439453125,0.0005249131999587092,0.0003606708410812368
Shipping Mode_Second Class,66.11463165283203,0.0004732267793725373,0.000325156807929166
Shipping Mode_Standard Class,63.55962371826172,0.00045493887326278294,0.0003125910837699361
ship_quarter,54.69109344482422,0.00039146085161843327,0.00026897497455713394
Product Name,54.060707092285156,0.0003869487535258519,0.000265874686330013
Market_LATAM,49.00169372558594,0.00035073800043723306,0.00024099407221384197
Market_Pacific Asia,41.930519104003906,0.00030012485915674697,0.00020621749536869436
Customer Country_Puerto Rico,41.758811950683594,0.000298895835850867,0.00020537302647464668
Order Item Quantity,39.59288024902344,0.0002833928093967582,0.00019472080894430467
Market_Europe,38.177494049072266,0.0002732619406884768,0.00018775983151377547
order_is_weekend,36.56880569458008,0.0002617474787610793,0.00017984817932389146
Product Price,29.551782608032227,0.0002115219363506416,0.00014533792386382902
Market_USCA,22.67094612121582,0.00016227117281098432,0.00011149744450240582
Order Item Product Price,19.717994689941406,0.0001411349180889835,9.697460383371821e-05
Shipping Mode_Same Day,2.368077039718628,1.6949916271129912e-05,1.1646383741627863e-05
